step,type,amount,isFraud
353,0,71505.11,0
157,1,15015.46,0
687,0,49835.41,0
284,0,49059.55,0
212,0,92386.14,0
349,0,146555.51,0
592,0,461020.28,0
351,0,20651.21,0
211,0,23476.59,0
356,0,220786.53,0
164,0,190930.13,0
393,0,45289.55,0
378,1,71278.35,0
402,0,7310.14,0
400,0,390716.83,0
348,0,288606.91,0
567,0,41598.79,0
356,0,260981.23,0
329,0,168157.36,0
500,0,237368.89,0
401,0,94788.7,0
405,0,56897.67,0
279,0,137491.12,0
214,0,64996.97,0
378,0,326532.23,0
372,0,105656.62,0
544,0,92233.16,0
329,0,245305.25,0
228,0,32357.83,0
328,0,271526.68,0
396,0,21517.58,0
400,0,161976.22,0
354,0,18912.28,0
594,0,120642.97,0
571,0,164380.4,0
356,0,118713.9,0
374,0,153541.82,0
492,0,227879.55,0
234,0,7663.6,0
259,0,42058.47,0
378,0,292228.28,0
692,0,151502.81,0
571,0,11374.5,0
253,0,387174.79,0
250,0,134566.46,0
323,0,69033.58,0
307,0,16425.75,0
330,0,76588.28,0
164,0,47145.6,0
377,0,179687.15,0
400,0,65861.26,0
158,0,3294.8,0
356,0,90856.42,0
399,0,156838.92,0
395,0,331142.34,0
348,0,223679.71,0
232,0,99048.17,0
302,0,176318.41,0
213,1,834.75,0
524,0,251941.42,0
404,0,71130.21,0
398,0,381289.4,0
375,0,488512.05,0
397,0,283559.12,0
333,0,103181.52,0
180,0,7375.51,0
394,0,34820.07,0
522,0,173216.91,0
203,0,428752.43,0
544,0,16919.75,0
211,0,34765.93,0
404,0,206819.02,0
181,0,6767.72,0
563,0,229928.79,0
325,0,606910.42,0
300,0,218848.8,0
327,0,110155.8,0
376,0,208949.57,0
403,0,36961.73,0
495,0,181543.53,0
325,0,325257.78,0
322,0,295815.27,0
589,0,233636.16,0
377,0,43670.35,0
352,0,56968.01,0
393,0,102553.46,0
284,0,123318.83,0
401,0,270546.65,0
382,0,130603.48,0
307,0,181714.15,0
380,0,255843.13,0
275,0,56286.78,0
227,0,35838.65,0
330,0,267802.83,0
377,0,167447.55,0
210,0,64449.61,0
401,0,511739.32,0
354,0,67213.22,0
352,0,203874.25,0
336,0,41449.49,0
303,0,200818.22,0
299,0,16191.48,0
714,0,524296.49,0
398,0,143899.65,0
259,0,19315.8,0
357,0,4249.22,0
327,0,110464.16,0
649,0,21383.35,0
573,1,115168.51,0
586,0,346668.56,0
181,0,22936.55,0
347,0,11816.38,0
548,0,109199.27,0
687,0,96562.57,0
302,0,15456.03,0
469,0,298586.51,0
376,0,21113.24,0
356,0,5586.97,0
404,0,37142.11,0
254,0,118210.03,0
687,0,19906.39,0
402,0,136316.94,0
378,0,87237.76,0
382,0,45878.04,0
661,0,71348.33,0
349,0,148688.11,0
404,0,89304.07,0
588,0,260980.0,0
718,1,141375.27,0
206,0,53585.91,0
401,1,9770.79,0
384,0,29363.78,0
306,0,53061.84,0
234,0,181730.01,0
393,0,18866.35,0
402,0,194816.96,0
298,0,11812.44,0
346,0,529978.04,0
348,0,250933.41,0
399,0,178929.54,0
476,0,265370.38,0
330,1,4374.85,0
354,0,191039.45,0
394,0,287532.34,0
393,0,240159.1,0
681,0,118503.25,0
538,0,282264.2,0
401,0,249039.24,0
564,0,251741.16,0
377,0,89106.39,0
617,0,29788.89,0
254,0,216225.92,0
520,0,49145.72,0
492,0,422010.42,0
403,0,113501.4,0
393,0,33156.77,0
307,0,11138.47,0
381,0,11214.87,0
329,0,15035.36,0
299,0,196813.6,0
356,0,76935.62,0
377,0,55854.38,0
469,0,245086.36,0
355,0,311120.2,0
403,0,120667.46,0
302,0,70369.28,0
573,0,182302.5,0
594,0,224022.46,0
279,0,411457.95,0
493,0,301652.73,0
525,0,48298.66,0
404,0,100463.37,0
322,1,145325.67,0
402,0,48830.11,0
379,0,19208.94,0
403,0,54708.79,0
355,0,96650.91,0
590,0,309011.36,0
522,0,225152.58,0
305,0,68527.53,0
326,0,116852.21,0
403,0,20591.24,0
298,0,319482.08,0
571,0,50109.78,0
396,0,316852.03,0
692,0,232466.18,0
356,0,280909.92,0
401,0,230298.26,0
548,1,35790.11,0
401,0,90982.35,0
212,0,60010.33,0
351,0,74499.4,0
400,0,173583.23,0
705,0,308496.14,0
298,0,162558.88,0
254,0,223547.56,0
351,0,288151.55,0
542,0,209130.39,0
404,0,62488.5,0
326,0,36752.31,0
423,0,29599.84,0
325,0,31239.42,0
402,0,31595.35,0
347,0,105847.79,0
500,0,97616.43,0
522,0,71621.37,0
375,0,527590.88,0
378,0,86830.73,0
