step,amount,type_CASH_IN,type_CASH_OUT,type_DEBIT,type_PAYMENT,type_TRANSFER,isFraud
377,417.94,0,0,0,1,0,0
349,266283.81,0,1,0,0,0,0
329,14318.39,0,0,0,1,0,0
329,575203.6,0,1,0,0,0,0
46,5366.47,0,0,0,1,0,0
234,96508.34,1,0,0,0,0,0
159,346203.68,0,1,0,0,0,0
401,538.08,0,1,0,0,0,0
492,228149.23,0,0,0,0,1,0
250,344162.76,1,0,0,0,0,0
349,25264.7,0,1,0,0,0,0
8,6034.53,0,0,0,1,0,0
400,358159.77,1,0,0,0,0,0
351,138241.61,0,1,0,0,0,0
331,9436.64,0,0,0,1,0,0
400,45893.75,0,0,0,1,0,0
394,350485.8,0,1,0,0,0,0
201,79029.45,1,0,0,0,0,0
132,6702.61,0,0,0,1,0,0
228,453353.52,0,1,0,0,0,0
692,224556.83,0,0,0,0,1,0
236,24210.08,0,1,0,0,0,0
204,166885.31,0,1,0,0,0,0
178,212088.97,0,1,0,0,0,0
161,323421.52,0,1,0,0,0,0
356,3365.03,0,0,0,0,1,0
299,27134.79,0,0,0,1,0,0
156,4831.8,0,0,0,1,0,0
394,94068.98,0,1,0,0,0,0
233,17381.24,1,0,0,0,0,0
135,195369.68,0,1,0,0,0,0
307,285780.13,0,1,0,0,0,0
155,8587.32,0,0,0,1,0,0
180,112748.31,1,0,0,0,0,0
373,348034.84,0,1,0,0,0,0
161,4754.52,0,0,0,1,0,0
405,27617.21,1,0,0,0,0,0
564,191632.67,1,0,0,0,0,0
352,911663.67,0,0,0,0,1,0
253,9909.13,0,0,0,1,0,0
157,14772.57,0,0,0,1,0,0
308,2616.04,0,0,0,1,0,0
228,5644.79,0,0,0,1,0,0
300,6367.67,0,0,0,1,0,0
160,245045.16,0,1,0,0,0,0
16,109637.84,0,1,0,0,0,0
204,17363.6,1,0,0,0,0,0
13,137671.26,0,1,0,0,0,0
281,194166.25,0,1,0,0,0,0
155,72199.09,1,0,0,0,0,0
228,69930.98,1,0,0,0,0,0
249,65481.62,1,0,0,0,0,0
306,306142.68,0,1,0,0,0,0
164,44111.76,1,0,0,0,0,0
207,95533.6,1,0,0,0,0,0
308,15661.41,0,0,0,1,0,0
405,11558.33,0,0,0,1,0,0
186,177140.34,1,0,0,0,0,0
8,277473.64,0,1,0,0,0,0
162,7104.07,0,0,0,1,0,0
346,165256.61,0,1,0,0,0,0
228,18623.26,0,0,0,1,0,0
349,181290.53,0,1,0,0,0,0
357,319985.12,1,0,0,0,0,0
158,9760.75,0,0,0,0,1,0
162,6116.93,0,0,0,1,0,0
281,523.3,0,0,0,1,0,0
351,3098.81,0,0,0,1,0,0
36,154322.76,0,1,0,0,0,0
398,165288.01,1,0,0,0,0,0
44,6271.56,0,0,0,1,0,0
544,43525.15,0,0,0,1,0,0
379,81407.39,1,0,0,0,0,0
45,14012.2,0,0,0,1,0,0
303,306209.05,1,0,0,0,0,0
132,108680.4,0,1,0,0,0,0
356,478271.34,0,1,0,0,0,0
259,84721.24,1,0,0,0,0,0
302,277860.36,1,0,0,0,0,0
119,178372.05,0,1,0,0,0,0
381,43128.61,1,0,0,0,0,0
311,2413.86,0,0,0,1,0,0
395,28065.18,0,0,0,1,0,0
135,237806.31,0,1,0,0,0,0
259,3214.24,0,0,0,1,0,0
369,13945.56,0,0,0,1,0,0
37,86436.29,1,0,0,0,0,0
156,40687.54,0,0,0,1,0,0
135,333974.69,0,1,0,0,0,0
274,233981.03,0,0,0,0,1,0
168,376.2,0,0,0,1,0,0
335,123647.13,0,0,0,0,1,0
380,16141.76,0,0,0,1,0,0
34,199400.46,0,1,0,0,0,0
228,204942.22,1,0,0,0,0,0
281,21420.28,0,0,0,1,0,0
210,40682.06,1,0,0,0,0,0
20,18513.62,0,1,0,0,0,0
13,2999.54,0,0,1,0,0,0
347,275263.35,0,1,0,0,0,0
159,281610.7,0,1,0,0,0,0
44,123268.66,0,1,0,0,0,0
177,201514.08,0,1,0,0,0,0
211,479.08,0,0,0,1,0,0
378,123395.49,0,1,0,0,0,0
381,11778.45,0,0,0,1,0,0
162,76452.49,0,1,0,0,0,0
163,5587.32,0,0,0,1,0,0
260,2510.27,1,0,0,0,0,0
283,20757.6,0,0,0,1,0,0
187,3016.26,0,0,0,1,0,0
258,197222.9,1,0,0,0,0,0
687,351682.81,0,1,0,0,0,0
209,426327.64,0,1,0,0,0,0
354,2112042.25,0,0,0,0,1,0
204,1584.04,0,0,0,1,0,0
183,137106.69,1,0,0,0,0,0
161,17353.46,0,0,0,1,0,0
227,60741.8,0,0,0,1,0,0
395,87843.31,0,1,0,0,0,0
281,34729.17,0,0,0,1,0,0
236,6453.5,0,0,0,1,0,0
164,62910.98,0,1,0,0,0,0
394,32179.75,0,0,0,1,0,0
283,82348.4,1,0,0,0,0,0
353,15435.91,0,0,0,1,0,0
377,177465.19,0,1,0,0,0,0
19,17211.0,0,0,0,1,0,0
323,366607.79,0,1,0,0,0,0
256,194756.07,0,1,0,0,0,0
375,234566.1,0,1,0,0,0,0
322,128454.51,1,0,0,0,0,0
322,16872.74,0,1,0,0,0,0
348,5075.26,0,0,0,1,0,0
349,33178.54,0,1,0,0,0,0
325,1021968.13,0,0,0,0,1,0
211,17017.23,0,0,0,1,0,0
323,16965.81,0,0,0,1,0,0
279,131879.19,1,0,0,0,0,0
299,10373.28,0,1,0,0,0,0
203,4128.63,0,0,0,1,0,0
17,218733.74,0,1,0,0,0,0
396,37639.14,0,0,0,1,0,0
250,26189.74,0,0,0,1,0,0
321,626772.2,1,0,0,0,0,0
335,705.12,0,0,0,1,0,0
378,38878.97,0,1,0,0,0,0
376,12797.74,0,0,0,1,0,0
33,4917.85,0,0,0,1,0,0
299,161587.72,1,0,0,0,0,0
133,16703.82,0,0,0,1,0,0
201,2842.84,0,0,1,0,0,0
35,197396.48,0,1,0,0,0,0
394,189991.42,0,1,0,0,0,0
369,9235.87,0,0,0,1,0,0
180,136132.91,0,1,0,0,0,0
141,74684.52,0,1,0,0,0,0
373,18976.84,1,0,0,0,0,0
13,9279.15,0,0,0,1,0,0
309,14057.93,0,0,0,1,0,0
237,3963.02,0,0,0,1,0,0
130,7119.56,0,0,0,1,0,0
301,18532.82,0,0,0,1,0,0
132,18641.91,1,0,0,0,0,0
345,202770.59,1,0,0,0,0,0
13,21240.75,0,0,0,1,0,0
159,70543.81,0,1,0,0,0,0
44,640254.96,1,0,0,0,0,0
155,64134.69,0,1,0,0,0,0
619,17317.55,0,1,0,0,0,0
182,91133.74,0,1,0,0,0,0
250,25160.05,0,0,0,1,0,0
211,200227.8,1,0,0,0,0,0
303,350200.91,1,0,0,0,0,0
309,192478.9,0,1,0,0,0,0
303,33892.8,0,0,0,1,0,0
182,294949.16,0,1,0,0,0,0
44,443222.7,0,0,0,0,1,0
397,203318.87,0,1,0,0,0,0
40,501693.99,0,0,0,0,1,0
322,137983.98,1,0,0,0,0,0
592,131290.2,0,1,0,0,0,0
277,23190.62,0,0,0,1,0,0
131,175143.05,0,1,0,0,0,0
232,103465.49,0,1,0,0,0,0
525,88266.19,1,0,0,0,0,0
206,9575.4,0,0,0,1,0,0
303,443059.76,0,1,0,0,0,0
249,402124.98,1,0,0,0,0,0
23,3126.79,0,0,0,1,0,0
161,8141.68,0,0,0,1,0,0
258,88195.64,1,0,0,0,0,0
382,24515.99,0,1,0,0,0,0
34,12847.22,0,0,0,1,0,0
210,220285.6,0,1,0,0,0,0
183,1695359.08,0,0,0,0,1,0
357,1419.03,0,0,0,1,0,0
154,40990.6,1,0,0,0,0,0
162,13785.21,0,0,0,1,0,0
156,17336.51,0,0,0,1,0,0
228,85999.77,0,1,0,0,0,0
275,7148.99,0,0,0,1,0,0
159,352412.99,0,1,0,0,0,0
43,336947.69,0,1,0,0,0,0
258,218968.28,0,1,0,0,0,0
544,5810.66,0,0,0,1,0,0
236,52519.58,0,1,0,0,0,0
393,65428.94,1,0,0,0,0,0
308,160732.56,0,1,0,0,0,0
349,349271.76,1,0,0,0,0,0
180,250662.0,0,1,0,0,0,0
216,2141.39,0,0,0,1,0,0
230,10539.43,1,0,0,0,0,0
182,2408.62,0,0,0,1,0,0
354,231162.3,0,1,0,0,0,0
286,505888.52,1,0,0,0,0,0
185,14589.57,0,0,0,1,0,0
154,672890.81,0,1,0,0,0,0
179,236011.38,1,0,0,0,0,0
402,150412.43,0,1,0,0,0,0
354,346009.04,0,1,0,0,0,0
183,386093.84,0,1,0,0,0,0
